"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs77136196-<b>T</b>,"2 x 10-8",,0.042,1.11,'-,[1.07-1.16],"NUDT3, RPL35P2","Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,6:34279270
rs2233632-<b>T</b>,"5 x 10-7",,0.688,1.04,'-,[1.03-1.06],"SPDEF, IFITM3P3","Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,6:34556921
rs2982521-<b>A</b>,"1 x 10-9",,0.38,1.05,'-,[1.03-1.06],LINC01625,"Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,6:139514192
rs616279-<b>A</b>,"7 x 10-7",,0.7379,1.04,'-,[1.03-1.06],FILNC1,"Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,6:139928329
rs11202627-<b>T</b>,"5 x 10-8",,0.1518,1.06,'-,[1.04-1.08],"MED6P1, PTEN","Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,10:88009583
rs72631105-<b>A</b>,"4 x 10-9",,0.1899,1.06,'-,[1.04-1.08],"LINC01153, RPL19P16","Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,10:121155831
rs4923543-<b>A</b>,"5 x 10-8",,0.332,1.04,'-,[1.03-1.06],METTL15,"Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,11:28513351
rs7978610-<b>G</b>,"2 x 10-8",,0.6655,1.27,'-,[1.17-1.38],"RFLNA, ZNF664","Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,12:123984025
rs825452-<b>A</b>,"2 x 10-6",,0.6031,1.04,'-,[1.02-1.05],RFLNA,"Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,12:124024630
rs1641523-<b>C</b>,"1 x 10-10",,0.4276,1.05,'-,[1.04-1.07],"ATP1B2, SHBG","Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,17:7646363
rs62059712-<b>T</b>,"5 x 10-6",,0.9184,1.07,'-,[1.04-1.10],KDM6B,"Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,17:7836852
rs6011155-<b>T</b>,"6 x 10-6",,0.6297,1.04,'-,[1.02-1.05],ZBTB46,"Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,20:63819311
rs59944054-<b>A</b>,"2 x 10-8",,0.2382,1.06,'-,[1.04-1.08],TCEA2,"Type 2 diabetes (adjusted for BMI)","type II diabetes mellitus",GCST009380,20:64061822
rs3768321-<b>T</b>,"3 x 10-26",,0.2004,1.09,'-,[1.07-1.10],"PABPC4, PABPC4-AS1","Type 2 diabetes","type II diabetes mellitus",GCST009379,1:39570256
rs58432198-<b>C</b>,"2 x 10-10",,0.8811,1.07,'-,[1.05-1.09],FAF1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,1:50790419
rs12140153-<b>G</b>,"1 x 10-8",,0.9051,1.07,'-,[1.04-1.09],PATJ,"Type 2 diabetes","type II diabetes mellitus",GCST009379,1:62114219
rs184660829-<b>C</b>,"3 x 10-8",,2.0E-4,8.05,'-,[3.86-16.8],DENND2C,"Type 2 diabetes","type II diabetes mellitus",GCST009379,1:114602278
rs1127215-<b>C</b>,"2 x 10-13",,0.5838,1.05,'-,[1.04-1.06],PTGFRN,"Type 2 diabetes","type II diabetes mellitus",GCST009379,1:116990168
rs1493694-<b>T</b>,"3 x 10-16",,0.1089,1.09,'-,[1.07-1.11],NOTCH2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,1:119984359
rs10305745-<b>A</b>,"4 x 10-6",,0.0145,1.28,'-,[1.15-1.42],ARNT,"Type 2 diabetes","type II diabetes mellitus",GCST009379,1:150813562
rs145904381-<b>T</b>,"3 x 10-8",,0.9867,1.19,'-,[1.12-1.26],BNIPL,"Type 2 diabetes","type II diabetes mellitus",GCST009379,1:151045515
rs188247550-<b>T</b>,"5 x 10-6",,0.0195,1.15,'-,[1.08-1.22],SUGP1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:19285807
rs10406327-<b>C</b>,"4 x 10-8",,0.5226,1.04,'-,[1.02-1.05],PEPD,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:33399932
rs745903616-<b>A</b>,"8 x 10-6",,0.0013,1.61,'-,[1.30-1.98],ZNF229,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:44434695
rs429358-<b>T</b>,"3 x 10-18",,0.8458,1.08,'-,[1.06-1.10],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,"Mapping not available"
rs10406431-<b>A</b>,"1 x 10-13",,0.5625,1.05,'-,[1.04-1.06],"RN7SL836P, GIPR","Type 2 diabetes","type II diabetes mellitus",GCST009379,19:45653761
rs2238689-<b>C</b>,"5 x 10-9",,0.4177,1.04,'-,[1.03-1.05],GIPR,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:45675403
rs533172266-<b>T</b>,"4 x 10-6",,6.0E-4,2.33,'-,[1.63-3.33],SYMPK,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:45848579
rs3810291-<b>A</b>,"9 x 10-12",,0.673,1.05,'-,[1.03-1.06],ZC3H4,"Type 2 diabetes","type II diabetes mellitus",GCST009379,19:47065746
rs13041756-<b>C</b>,"1 x 10-8",,0.1072,1.06,'-,[1.04-1.08],"GSTM3P1, RN7SKP140","Type 2 diabetes","type II diabetes mellitus",GCST009379,20:21486157
rs2268078-<b>A</b>,"2 x 10-10",,0.6572,1.04,'-,[1.03-1.06],RALY,"Type 2 diabetes","type II diabetes mellitus",GCST009379,20:34008898
rs76811102-<b>T</b>,"1 x 10-7",,0.0424,1.09,'-,[1.06-1.13],GDAP1L1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,20:44276775
rs4810426-<b>T</b>,"3 x 10-17",,0.1064,1.09,'-,[1.07-1.12],"HNF4A-AS1, HNF4A","Type 2 diabetes","type II diabetes mellitus",GCST009379,20:44373081
rs191830490-<b>G</b>,"2 x 10-6",,0.9941,1.24,'-,[1.13-1.36],"HNF4A, HNF4A-AS1","Type 2 diabetes","type II diabetes mellitus",GCST009379,20:44394715
rs1800961-<b>T</b>,"2 x 10-22",,0.0353,1.18,'-,[1.15-1.23],HNF4A,"Type 2 diabetes","type II diabetes mellitus",GCST009379,20:44413724
rs6063048-<b>G</b>,"2 x 10-11",,0.7246,1.05,'-,[1.03-1.06],EYA2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,20:46969925
rs11699802-<b>C</b>,"2 x 10-11",,0.5359,1.04,'-,[1.03-1.06],"CEBPB, PELATON","Type 2 diabetes","type II diabetes mellitus",GCST009379,20:50215598
rs34454109-<b>A</b>,"7 x 10-9",,0.7709,1.04,'-,[1.03-1.06],LINC01524,"Type 2 diabetes","type II diabetes mellitus",GCST009379,20:52607055
rs6070625-<b>G</b>,"5 x 10-14",,0.5174,1.05,'-,[1.04-1.06],GNAS-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,20:58819573
rs862016-<b>G</b>,"1 x 10-7",,0.0783,1.07,'-,[1.04-1.09],"NELFCD, GNAS","Type 2 diabetes","type II diabetes mellitus",GCST009379,20:58976044
rs6518681-<b>G</b>,"1 x 10-12",,0.9136,1.09,'-,[1.06-1.11],"HORMAD2, LIF-AS1","Type 2 diabetes","type II diabetes mellitus",GCST009379,22:30213565
rs117001013-<b>C</b>,"2 x 10-8",,0.9117,1.07,'-,[1.04-1.09],YWHAH,"Type 2 diabetes","type II diabetes mellitus",GCST009379,22:31952854
rs5758223-<b>A</b>,"4 x 10-8",,0.7167,1.04,'-,[1.03-1.05],EP300,"Type 2 diabetes","type II diabetes mellitus",GCST009379,22:41093916
rs738408-<b>T</b>,"1 x 10-10",,0.2261,1.05,'-,[1.03-1.07],PNPLA3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,22:43928850
rs1801645-<b>C</b>,"2 x 10-8",,0.275,1.04,'-,[1.02-1.05],PIM3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,22:49963202
rs112915006-<b>G</b>,"1 x 10-6",,0.0512,1.08,'-,[1.05-1.11],"MOV10L1, PANX2","Type 2 diabetes","type II diabetes mellitus",GCST009379,22:50166267
rs2102278-<b>G</b>,"4 x 10-8",,0.3186,1.04,'-,[1.02-1.05],"LRRC66, DCUN1D4","Type 2 diabetes","type II diabetes mellitus",GCST009379,4:51952498
rs114447556-<b>T</b>,"8 x 10-6",,0.0839,1.06,'-,[1.03-1.08],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:52340927
rs12642790-<b>A</b>,"4 x 10-10",,0.3378,1.04,'-,[1.03-1.06],SCD5,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:82657118
rs1903002-<b>G</b>,"3 x 10-8",,0.5005,1.04,'-,[1.02-1.05],FAM13A,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:88819743
rs576406049-<b>T</b>,"2 x 10-6",,0.0013,1.65,'-,[1.35-2.03],FAM13A,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:88936140
rs6821438-<b>A</b>,"4 x 10-11",,0.5342,1.04,'-,[1.03-1.06],HMGB3P15,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:94170760
rs1580278-<b>C</b>,"2 x 10-10",,0.4728,1.04,'-,[1.03-1.05],"CENPE, LINC02428","Type 2 diabetes","type II diabetes mellitus",GCST009379,4:103219691
rs1296328-<b>A</b>,"4 x 10-8",,0.4457,1.04,'-,[1.02-1.05],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:136162038
rs7669833-<b>T</b>,"1 x 10-14",,0.7045,1.06,'-,[1.04-1.07],"TMEM154, RPS3AP18","Type 2 diabetes","type II diabetes mellitus",GCST009379,4:152592217
rs28819812-<b>C</b>,"2 x 10-8",,0.6767,1.04,'-,[1.03-1.06],"PDGFC, LINC02272","Type 2 diabetes","type II diabetes mellitus",GCST009379,4:156731601
rs58730668-<b>T</b>,"1 x 10-13",,0.858,1.07,'-,[1.05-1.09],ACSL1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,4:184796605
rs3845281-<b>G</b>,"2 x 10-11",,0.9039,1.08,'-,[1.06-1.10],OTULINL,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:14610025
rs146886108-<b>C</b>,"8 x 10-13",,0.9938,1.41,'-,[1.28-1.55],ANKH,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:14751196
rs17250977-<b>G</b>,"2 x 10-11",,0.0376,1.12,'-,[1.09-1.16],ANKH,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:14753636
rs6885132-<b>C</b>,"2 x 10-8",,0.904,1.07,'-,[1.04-1.09],ANKH,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:14767983
rs76549217-<b>T</b>,"3 x 10-10",,0.0295,1.14,'-,[1.10-1.19],ANKH,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:14768657
rs62368490-<b>T</b>,"3 x 10-6",,0.0313,1.1,'-,[1.06-1.14],LINC02224,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:44534262
rs6884702-<b>G</b>,"2 x 10-10",,0.3932,1.04,'-,[1.03-1.06],"LINC02224, RN7SL383P","Type 2 diabetes","type II diabetes mellitus",GCST009379,5:44682487
rs17261179-<b>T</b>,"1 x 10-8",,0.5172,1.04,'-,[1.02-1.05],MFSD4BP1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:52495391
rs3811978-<b>G</b>,"8 x 10-11",,0.1668,1.06,'-,[1.04-1.07],ITGA1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:52804655
rs62357230-<b>A</b>,"6 x 10-6",,0.0339,1.09,'-,[1.05-1.13],ITGA2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:53019852
rs62370480-<b>A</b>,"2 x 10-6",,0.2195,1.04,'-,[1.02-1.05],FST,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:53478680
rs702634-<b>A</b>,"8 x 10-14",,0.69,1.05,'-,[1.04-1.07],ARL15,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:53975590
rs279744-<b>C</b>,"3 x 10-8",,0.6909,1.04,'-,[1.03-1.05],ARL15,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:54116790
rs465002-<b>T</b>,"6 x 10-38",,0.7421,1.11,'-,[1.09-1.12],C5orf67,"Type 2 diabetes","type II diabetes mellitus",GCST009379,5:56512648
rs11688931-<b>C</b>,"8 x 10-6",,0.8494,1.04,'-,[1.02-1.06],"LINC01101, Y_RNA","Type 2 diabetes","type II diabetes mellitus",GCST009379,2:120560590
rs11688682-<b>G</b>,"4 x 10-9",,0.7278,1.05,'-,[1.03-1.06],Y_RNA,"Type 2 diabetes","type II diabetes mellitus",GCST009379,2:120590036
rs66477705-<b>T</b>,"3 x 10-6",,0.967,1.09,'-,[1.05-1.13],"Y_RNA, LINC01871","Type 2 diabetes","type II diabetes mellitus",GCST009379,2:120621276
rs35999103-<b>T</b>,"1 x 10-8",,0.1547,1.05,'-,[1.03-1.07],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,2:147104065
rs13426680-<b>A</b>,"7 x 10-10",,0.9373,1.09,'-,[1.06-1.11],CYTIP,"Type 2 diabetes","type II diabetes mellitus",GCST009379,2:157483038
rs3772071-<b>T</b>,"1 x 10-11",,0.7135,1.05,'-,[1.03-1.06],RBMS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,2:160279033
rs10195252-<b>T</b>,"6 x 10-25",,0.5864,1.07,'-,[1.06-1.08],COBLL1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,2:164656581
rs13024606-<b>T</b>,"2 x 10-8",,0.0472,1.09,'-,[1.06-1.13],COBLL1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,2:164716684
rs2972144-<b>G</b>,"2 x 10-46",,0.6385,1.1,'-,[1.08-1.11],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,2:226236695
rs11709077-<b>G</b>,"2 x 10-36",,0.8765,1.14,'-,[1.11-1.16],PPARG,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:12295008
rs17819328-<b>G</b>,"5 x 10-16",,0.4249,1.06,'-,[1.04-1.07],"PPARG, TSEN2","Type 2 diabetes","type II diabetes mellitus",GCST009379,3:12447843
rs35352848-<b>T</b>,"1 x 10-17",,0.7878,1.07,'-,[1.05-1.09],UBE2E2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:23414091
rs17013314-<b>G</b>,"8 x 10-9",,0.0313,1.11,'-,[1.07-1.15],UBE2E2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:23468553
rs11926707-<b>C</b>,"2 x 10-8",,0.6262,1.27,'-,[1.17-1.38],PTH1R,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:46884049
rs75423501-<b>G</b>,"8 x 10-6",,0.1007,1.05,'-,[1.03-1.08],KIF9-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:47201433
rs4688760-<b>T</b>,"4 x 10-10",,0.6842,1.04,'-,[1.03-1.06],RBM6,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:49943163
rs2581787-<b>T</b>,"2 x 10-8",,0.5634,1.04,'-,[1.02-1.05],RFT1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:53093661
rs76263492-<b>T</b>,"6 x 10-9",,0.0452,1.09,'-,[1.06-1.13],CACNA2D3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:54794800
rs3774723-<b>G</b>,"2 x 10-13",,0.8442,1.07,'-,[1.05-1.09],ATXN7,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:63976663
rs74368513-<b>G</b>,"7 x 10-6",,0.9956,1.31,'-,[1.16-1.47],"PRICKLE2-DT, RNU6-739P","Type 2 diabetes","type II diabetes mellitus",GCST009379,3:64475018
rs9860730-<b>A</b>,"5 x 10-15",,0.7036,1.06,'-,[1.04-1.07],ADAMTS9-AS2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:64715470
rs13085136-<b>C</b>,"2 x 10-8",,0.9283,1.08,'-,[1.05-1.10],SHQ1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:72816032
rs2272163-<b>C</b>,"1 x 10-8",,0.6184,1.04,'-,[1.02-1.05],ROBO2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:77622570
rs11708067-<b>A</b>,"5 x 10-32",,0.7723,1.09,'-,[1.08-1.11],ADCY5,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:123346931
rs649961-<b>T</b>,"1 x 10-9",,0.4651,1.04,'-,[1.03-1.05],SLC12A8,"Type 2 diabetes","type II diabetes mellitus",GCST009379,3:125207793
rs148766658-<b>C</b>,"6 x 10-7",,0.0378,1.09,'-,[1.05-1.13],ANK1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:41694528
rs11786992-<b>A</b>,"5 x 10-6",,0.644,1.03,'-,[1.02-1.04],ESRP1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:94672919
rs10097617-<b>T</b>,"3 x 10-11",,0.4847,1.04,'-,[1.03-1.06],NDUFAF6,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:94949398
rs187936726-<b>G</b>,"5 x 10-6",,0.0239,1.11,'-,[1.06-1.16],NDUFAF6,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:95080194
rs149364428-<b>A</b>,"2 x 10-12",,0.0104,1.27,'-,[1.19-1.36],CPQ,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:96725513
rs12680028-<b>C</b>,"3 x 10-8",,0.5342,1.04,'-,[1.02-1.05],TRHR,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:109110954
rs3802177-<b>G</b>,"1 x 10-55",,0.6851,1.11,'-,[1.10-1.13],SLC30A8,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:117172786
rs80244329-<b>G</b>,"7 x 10-6",,0.9781,1.11,'-,[1.06-1.17],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:117392433
rs17772814-<b>G</b>,"5 x 10-10",,0.9151,1.08,'-,[1.05-1.11],CASC11,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:127699497
rs1561927-<b>C</b>,"2 x 10-9",,0.2686,1.04,'-,[1.03-1.06],LINC00824,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:128555832
rs4977213-<b>C</b>,"9 x 10-14",,0.3749,1.05,'-,[1.04-1.07],BOP1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,8:144283538
rs12719778-<b>T</b>,"5 x 10-9",,0.5376,1.04,'-,[1.03-1.05],"Metazoa_SRP, ARHGAP39","Type 2 diabetes","type II diabetes mellitus",GCST009379,8:144654498
rs510807-<b>A</b>,"1 x 10-6",,0.4906,1.03,'-,[1.02-1.04],GLIS3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,9:3965689
rs79103584-<b>T</b>,"4 x 10-6",,0.9862,1.14,'-,[1.08-1.21],GLIS3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,9:4243045
rs10974438-<b>C</b>,"2 x 10-14",,0.3567,1.05,'-,[1.04-1.07],GLIS3,"Type 2 diabetes","type II diabetes mellitus",GCST009379,9:4291928
rs7022807-<b>G</b>,"3 x 10-10",,0.4014,1.04,'-,[1.03-1.05],HAUS6,"Type 2 diabetes","type II diabetes mellitus",GCST009379,9:19067835
rs7867635-<b>C</b>,"4 x 10-8",,0.4123,1.04,'-,[1.02-1.05],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,9:20241071
rs7847880-<b>C</b>,"2 x 10-6",,0.8431,1.04,'-,[1.03-1.06],FOCAD,"Type 2 diabetes","type II diabetes mellitus",GCST009379,9:20662704
rs1412830-<b>C</b>,"9 x 10-8",,0.6278,1.04,'-,[1.02-1.05],CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,9:22043613
rs76011118-<b>A</b>,"1 x 10-7",,0.0341,1.11,'-,[1.07-1.15],CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,9:22133774
rs10811660-<b>G</b>,"1 x 10-115",,0.8282,1.27,'-,[1.24-1.29],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,"Mapping not available"
rs10757283-<b>T</b>,"2 x 10-41",,0.4298,1.11,'-,[1.09-1.13],CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,9:22134173
rs1333052-<b>A</b>,"6 x 10-7",,0.6599,1.03,'-,[1.02-1.05],CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,9:22157909
rs13262861-<b>C</b>,"4 x 10-12",,0.8292,1.07,'-,[1.05-1.09],"ANK1, NKX6-3","Type 2 diabetes","type II diabetes mellitus",GCST009379,8:41651058
rs4736819-<b>T</b>,"5 x 10-7",,0.5537,1.04,'-,[1.02-1.05],"ANK1, NKX6-3","Type 2 diabetes","type II diabetes mellitus",GCST009379,8:41652396
rs140242150-<b>A</b>,"2 x 10-8",,0.005,1.36,'-,[1.22-1.52],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,10:112943203
rs7918400-<b>T</b>,"2 x 10-15",,0.4761,1.06,'-,[1.04-1.07],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,10:112943377
rs184509201-<b>C</b>,"1 x 10-13",,0.9818,1.21,'-,[1.15-1.27],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,10:112980578
rs180988137-<b>G</b>,"6 x 10-6",,0.0104,1.17,'-,[1.09-1.25],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,10:112991414
rs7903146-<b>T</b>,"6 x 10-447",,0.295,1.37,'-,[1.35-1.39],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,10:112998590
rs78025551-<b>C</b>,"2 x 10-7",,0.851,1.05,'-,[1.03-1.07],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,10:112998197
rs34855922-<b>A</b>,"6 x 10-12",,0.7162,1.05,'-,[1.04-1.07],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,10:113111835
rs2280141-<b>T</b>,"1 x 10-13",,0.5161,1.05,'-,[1.03-1.06],PLEKHA1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,10:122433665
rs12802972-<b>A</b>,"2 x 10-6",,0.4281,1.03,'-,[1.02-1.05],FAM99B,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:1683366
rs11042596-<b>G</b>,"2 x 10-8",,0.6649,1.04,'-,[1.03-1.05],"H19, IGF2","Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2097630
rs555759341-<b>C</b>,"4 x 10-8",,0.0049,1.38,'-,[1.23-1.55],IGF2,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2130531
rs571342427-<b>C</b>,"1 x 10-6",,0.0015,1.68,'-,[1.36-2.07],"INS, TH","Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2161289
rs4929965-<b>A</b>,"4 x 10-26",,0.3829,1.07,'-,[1.06-1.09],"MIR4686, ASCL2","Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2176056
rs4930091-<b>C</b>,"4 x 10-6",,0.7594,1.04,'-,[1.02-1.05],CD81-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2351126
rs2283164-<b>A</b>,"1 x 10-7",,0.9468,1.08,'-,[1.05-1.12],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2557933
rs80102379-<b>G</b>,"9 x 10-8",,0.9822,1.15,'-,[1.09-1.21],"KCNQ1OT1, KCNQ1","Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2612947
rs231349-<b>T</b>,"2 x 10-11",,0.1024,1.07,'-,[1.05-1.10],"KCNQ1OT1, KCNQ1","Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2651591
rs231361-<b>A</b>,"5 x 10-25",,0.2564,1.08,'-,[1.07-1.10],"KCNQ1, KCNQ1OT1","Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2670270
rs2283220-<b>A</b>,"1 x 10-9",,0.6896,1.05,'-,[1.03-1.06],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2734318
rs234853-<b>G</b>,"7 x 10-16",,0.2482,1.08,'-,[1.06-1.10],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2829598
rs2237895-<b>C</b>,"6 x 10-52",,0.426,1.12,'-,[1.11-1.14],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2835964
rs2237897-<b>C</b>,"8 x 10-32",,0.9543,1.23,'-,[1.19-1.27],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2837316
rs445084-<b>G</b>,"2 x 10-6",,0.3613,1.03,'-,[1.02-1.05],SLC22A18AS,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:2887524
rs141521721-<b>A</b>,"3 x 10-8",,0.0236,1.13,'-,[1.08-1.17],PDE3B,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:14742282
rs5213-<b>C</b>,"4 x 10-27",,0.3624,1.07,'-,[1.06-1.09],KCNJ11,"Type 2 diabetes","type II diabetes mellitus",GCST009379,11:17386857
rs35895680-<b>C</b>,"3 x 10-15",,0.678,1.06,'-,[1.04-1.07],"GIP, IGF2BP1","Type 2 diabetes","type II diabetes mellitus",GCST009379,17:48982960
rs569511541-<b>G</b>,"2 x 10-8",,2.0E-4,7.63,'-,[3.78-15.4],CCDC47,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:54063444
rs2727301-<b>T</b>,"1 x 10-6",,0.7538,1.04,'-,[1.02-1.05],"GH2, CSH1","Type 2 diabetes","type II diabetes mellitus",GCST009379,17:63887683
rs60276348-<b>T</b>,"3 x 10-8",,0.1397,1.05,'-,[1.03-1.07],ERN1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:64125944
rs11657492-<b>G</b>,"6 x 10-8",,0.1002,1.06,'-,[1.04-1.08],PITPNC1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:67652311
rs558308082-<b>C</b>,"7 x 10-6",,8.0E-4,2.04,'-,[1.49-2.77],"RPL17P41, BPTF","Type 2 diabetes","type II diabetes mellitus",GCST009379,17:67824037
rs61676547-<b>C</b>,"3 x 10-11",,0.1924,1.06,'-,[1.04-1.07],BPTF,"Type 2 diabetes","type II diabetes mellitus",GCST009379,17:67896391
rs7240767-<b>C</b>,"2 x 10-8",,0.3762,1.04,'-,[1.02-1.05],LAMA1,"Type 2 diabetes","type II diabetes mellitus",GCST009379,18:7070643
rs62080313-<b>C</b>,"1 x 10-8",,0.1233,1.06,'-,[1.04-1.08],'-,"Type 2 diabetes","type II diabetes mellitus",GCST009379,18:38698745
rs76197067-<b>G</b>,"8 x 10-6",,5.0E-4,2.68,'-,[1.74-4.12],CCDC68,"Type 2 diabetes","type II diabetes mellitus",GCST009379,18:54937724
rs72926932-<b>C</b>,"1 x 10-14",,0.0839,1.09,'-,[1.07-1.12],TCF4,"Type 2 diabetes","type II diabetes mellitus",GCST009379,18:55383415
rs28719468-<b>C</b>,"2 x 10-6",,0.1586,1.04,'-,[1.02-1.06],"LINC01416, LINC01415","Type 2 diabetes","type II diabetes mellitus",GCST009379,18:55784913
rs17684074-<b>G</b>,"3 x 10-8",,0.7403,1.04,'-,[1.03-1.06],WDR7,"Type 2 diabetes","type II diabetes mellitus",GCST009379,18:57008153
